ALAND,AWATER,BASIN,CBSAFP,CLASSFP,COUNTYFP,COUNTYNS,CSAFP,FID_inland,FID_tl_2015_us_county,FUNCSTAT,GEOID,HUC12,HU_12_NAME,INTPTLAT,INTPTLON,LSAD,METDIVFP,MTFCC,NAME,NAMELSAD,STATEFP,SUBBASIN,SUBREGION,Shape_Area,Shape_Length
1826212267.0,410631158.0,Aucilla-Waccasassa, ,H1,029,00295725, ,11,1277,A,12029,031101020905,Sink Creek-Whackup Creek Frontal,+29.5808994,-083.1956656,06, ,G4020,Dixie,Dixie County,12,Econfina-Steinhatchee,Suwannee,373880498.598,98279.9830471
2896185793.0,762933268.0,Suwannee, ,H1,075,00295724, ,12,1877,A,12075,031102050703,Wacasassa Slough,+29.2844566,-082.7834620,06, ,G4020,Levy,Levy County,12,Lower Suwannee,Suwannee,64982745.0586,62983.4616731
1411918810.0,1275526881.0,Apalachicola, ,H1,037,00306911, ,13,999,A,12037,031300110706,Saul Creek,+29.8101756,-084.7991742,06, ,G4020,Franklin,Franklin County,12,Apalachicola,Apalachicola,218145236.858,69890.0503117
1433780459.0,494266823.0,Apalachicola,37460,H1,045,00306917, ,13,3099,A,12045,031300110706,Saul Creek,+29.9072571,-085.2565366,06, ,G4020,Gulf,Gulf County,12,Apalachicola,Apalachicola,39055634.8836,37729.1392429
1826212267.0,410631158.0,Aucilla-Waccasassa, ,H1,029,00295725, ,14,1277,A,12029,031101020904,Howard Creek-Rocky Creek Frontal,+29.5808994,-083.1956656,06, ,G4020,Dixie,Dixie County,12,Econfina-Steinhatchee,Suwannee,109449365.051,76779.016412
905705522.0,14362154.0,Suwannee,23540,H1,041,00303633,264,15,366,A,12041,031102050702,Fanning Springs Slough,+29.7234556,-082.7958011,06, ,G4020,Gilchrist,Gilchrist County,12,Lower Suwannee,Suwannee,56666588.6453,39140.1901203
2896185793.0,762933268.0,Suwannee, ,H1,075,00295724, ,15,1877,A,12075,031102050702,Fanning Springs Slough,+29.2844566,-082.7834620,06, ,G4020,Levy,Levy County,12,Lower Suwannee,Suwannee,21685054.2931,36608.1192602
1826212267.0,410631158.0,Aucilla-Waccasassa, ,H1,029,00295725, ,16,1277,A,12029,031101020804,Sand Hill Creek,+29.5808994,-083.1956656,06, ,G4020,Dixie,Dixie County,12,Econfina-Steinhatchee,Suwannee,49624770.6016,40352.2603165
2702176496.0,489262125.0,Aucilla-Waccasassa, ,H1,123,00295728, ,16,2336,A,12123,031101020804,Sand Hill Creek,+30.0099084,-083.6094825,06, ,G4020,Taylor,Taylor County,12,Econfina-Steinhatchee,Suwannee,51.4148270836,32.4638286651
905705522.0,14362154.0,Aucilla-Waccasassa,23540,H1,041,00303633,264,17,366,A,12041,031101010201,Sawgrass Springs,+29.7234556,-082.7958011,06, ,G4020,Gilchrist,Gilchrist County,12,Waccasassa,Suwannee,92988710.7454,56681.2671804
2896185793.0,762933268.0,Aucilla-Waccasassa, ,H1,075,00295724, ,17,1877,A,12075,031101010201,Sawgrass Springs,+29.2844566,-082.7834620,06, ,G4020,Levy,Levy County,12,Waccasassa,Suwannee,60877470.0139,47069.8649246
2266378728.0,242823265.0,Aucilla-Waccasassa,23540,H1,001,00308548,264,17,2636,A,12001,031101010201,Sawgrass Springs,+29.6757403,-082.3572210,06, ,G4020,Alachua,Alachua County,12,Waccasassa,Suwannee,703562.221323,4744.17469135
1433780459.0,494266823.0,Apalachicola,37460,H1,045,00306917, ,18,3099,A,12045,031300110703,Searcy Creek,+29.9072571,-085.2565366,06, ,G4020,Gulf,Gulf County,12,Apalachicola,Apalachicola,85066765.0703,69380.1365093
1411918810.0,1275526881.0,Apalachicola, ,H1,037,00306911, ,19,999,A,12037,031300110705,Lake Wimico,+29.8101756,-084.7991742,06, ,G4020,Franklin,Franklin County,12,Apalachicola,Apalachicola,14371108.469,24498.8082097
1433780459.0,494266823.0,Apalachicola,37460,H1,045,00306917, ,19,3099,A,12045,031300110705,Lake Wimico,+29.9072571,-085.2565366,06, ,G4020,Gulf,Gulf County,12,Apalachicola,Apalachicola,101445435.908,75807.4103362
1411918810.0,1275526881.0,Apalachicola, ,H1,037,00306911, ,20,999,A,12037,031300110804,East River-Apalachicola River Frontal,+29.8101756,-084.7991742,06, ,G4020,Franklin,Franklin County,12,Apalachicola,Apalachicola,477862690.325,124365.464421
1433780459.0,494266823.0,Apalachicola,37460,H1,045,00306917, ,20,3099,A,12045,031300110804,East River-Apalachicola River Frontal,+29.9072571,-085.2565366,06, ,G4020,Gulf,Gulf County,12,Apalachicola,Apalachicola,7378931.60346,17458.6851781
1411918810.0,1275526881.0,Apalachicola, ,H1,037,00306911, ,21,999,A,12037,031300130504,Blounts Bay Frontal,+29.8101756,-084.7991742,06, ,G4020,Franklin,Franklin County,12,New,Apalachicola,160832069.656,84513.3710706
1826212267.0,410631158.0,Aucilla-Waccasassa, ,H1,029,00295725, ,22,1277,A,12029,031101020902,California Creek,+29.5808994,-083.1956656,06, ,G4020,Dixie,Dixie County,12,Econfina-Steinhatchee,Suwannee,163060187.91,78782.5771912
905705522.0,14362154.0,Suwannee,23540,H1,041,00303633,264,23,366,A,12041,031102050701,Bell Springs,+29.7234556,-082.7958011,06, ,G4020,Gilchrist,Gilchrist County,12,Lower Suwannee,Suwannee,38700981.8884,28352.5850564
1826212267.0,410631158.0,Suwannee, ,H1,029,00295725, ,23,1277,A,12029,031102050701,Bell Springs,+29.5808994,-083.1956656,06, ,G4020,Dixie,Dixie County,12,Lower Suwannee,Suwannee,115204008.292,68618.7897963
2896185793.0,762933268.0,Suwannee, ,H1,075,00295724, ,23,1877,A,12075,031102050701,Bell Springs,+29.2844566,-082.7834620,06, ,G4020,Levy,Levy County,12,Lower Suwannee,Suwannee,19378521.6164,21044.5648064
1826212267.0,410631158.0,Aucilla-Waccasassa, ,H1,029,00295725, ,24,1277,A,12029,031101020805,Steinhatchee River-Pine Log Creek Frontal,+29.5808994,-083.1956656,06, ,G4020,Dixie,Dixie County,12,Econfina-Steinhatchee,Suwannee,57716479.307,59637.5746998
2702176496.0,489262125.0,Aucilla-Waccasassa, ,H1,123,00295728, ,24,2336,A,12123,031101020805,Steinhatchee River-Pine Log Creek Frontal,+30.0099084,-083.6094825,06, ,G4020,Taylor,Taylor County,12,Econfina-Steinhatchee,Suwannee,30311345.9362,30477.5617619
1433780459.0,494266823.0,Apalachicola,37460,H1,045,00306917, ,25,3099,A,12045,031300110702,Indian Bayou,+29.9072571,-085.2565366,06, ,G4020,Gulf,Gulf County,12,Apalachicola,Apalachicola,63121204.877,36041.0142183
1826212267.0,410631158.0,Aucilla-Waccasassa, ,H1,029,00295725, ,26,1277,A,12029,031101020901,Fishbone Creek-California Creek,+29.5808994,-083.1956656,06, ,G4020,Dixie,Dixie County,12,Econfina-Steinhatchee,Suwannee,134121991.797,78738.4575269
1826212267.0,410631158.0,Aucilla-Waccasassa, ,H1,029,00295725, ,27,1277,A,12029,031101020506,Dallus Creek-Bivens Creek Frontal,+29.5808994,-083.1956656,06, ,G4020,Dixie,Dixie County,12,Econfina-Steinhatchee,Suwannee,6399042.8645,16690.333495
2702176496.0,489262125.0,Aucilla-Waccasassa, ,H1,123,00295728, ,27,2336,A,12123,031101020506,Dallus Creek-Bivens Creek Frontal,+30.0099084,-083.6094825,06, ,G4020,Taylor,Taylor County,12,Econfina-Steinhatchee,Suwannee,125863896.922,52832.8195276
1411918810.0,1275526881.0,Apalachicola, ,H1,037,00306911, ,28,999,A,12037,031300130305,Carabelle River,+29.8101756,-084.7991742,06, ,G4020,Franklin,Franklin County,12,New,Apalachicola,227234189.105,75453.1042498
905705522.0,14362154.0,Suwannee,23540,H1,041,00303633,264,29,366,A,12041,031102050604,North Old Town Hammock,+29.7234556,-082.7958011,06, ,G4020,Gilchrist,Gilchrist County,12,Lower Suwannee,Suwannee,92727975.6973,69961.6284167
1826212267.0,410631158.0,Suwannee, ,H1,029,00295725, ,29,1277,A,12029,031102050604,North Old Town Hammock,+29.5808994,-083.1956656,06, ,G4020,Dixie,Dixie County,12,Lower Suwannee,Suwannee,56208743.7577,56895.8434981
1964402061.0,711451659.0,Florida Panhandle Coastal,37460,H1,005,00295738, ,30,1703,A,12005,031401010704,Harrison Swamp-Intercoastal Waterway Frontal,+30.2381172,-085.6314303,06, ,G4020,Bay,Bay County,12,St. Andrew-St. Joseph Bays,Choctawhatchee-Escambia,14787204.5484,27240.4307223
1433780459.0,494266823.0,Florida Panhandle Coastal,37460,H1,045,00306917, ,30,3099,A,12045,031401010704,Harrison Swamp-Intercoastal Waterway Frontal,+29.9072571,-085.2565366,06, ,G4020,Gulf,Gulf County,12,St. Andrew-St. Joseph Bays,Choctawhatchee-Escambia,362892828.762,93906.8256766
1411918810.0,1275526881.0,Apalachicola, ,H1,037,00306911, ,31,999,A,12037,031300130402,Lower Crooked River,+29.8101756,-084.7991742,06, ,G4020,Franklin,Franklin County,12,New,Apalachicola,52657031.8164,42850.188302
1411918810.0,1275526881.0,Apalachicola, ,H1,037,00306911, ,32,999,A,12037,031300130503,Tates Hell Swamp-Cash Creek,+29.8101756,-084.7991742,06, ,G4020,Franklin,Franklin County,12,New,Apalachicola,296216354.984,104482.848146
1411918810.0,1275526881.0,Apalachicola, ,H1,037,00306911, ,33,999,A,12037,031300130502,Whiskey George Creek,+29.8101756,-084.7991742,06, ,G4020,Franklin,Franklin County,12,New,Apalachicola,74208402.7617,41157.9460399
1826212267.0,410631158.0,Aucilla-Waccasassa, ,H1,029,00295725, ,34,1277,A,12029,031101020802,Hines Slough,+29.5808994,-083.1956656,06, ,G4020,Dixie,Dixie County,12,Econfina-Steinhatchee,Suwannee,79734807.4609,67438.002595
1826212267.0,410631158.0,Aucilla-Waccasassa, ,H1,029,00295725, ,35,1277,A,12029,031101020803,Pumpkin Swamp,+29.5808994,-083.1956656,06, ,G4020,Dixie,Dixie County,12,Econfina-Steinhatchee,Suwannee,120853415.957,62577.983196
905705522.0,14362154.0,Suwannee,23540,H1,041,00303633,264,36,366,A,12041,031102050603,Sun Springs,+29.7234556,-082.7958011,06, ,G4020,Gilchrist,Gilchrist County,12,Lower Suwannee,Suwannee,114680489.334,66718.327544
1826212267.0,410631158.0,Suwannee, ,H1,029,00295725, ,36,1277,A,12029,031102050603,Sun Springs,+29.5808994,-083.1956656,06, ,G4020,Dixie,Dixie County,12,Lower Suwannee,Suwannee,58681585.5831,46083.172986
1433780459.0,494266823.0,Apalachicola,37460,H1,045,00306917, ,37,3099,A,12045,031300110701,Cypress Creek-Indian Bayou,+29.9072571,-085.2565366,06, ,G4020,Gulf,Gulf County,12,Apalachicola,Apalachicola,110444256.598,58454.9216563
1411918810.0,1275526881.0,Apalachicola, ,H1,037,00306911, ,38,999,A,12037,031300130403,Alligator Harbor,+29.8101756,-084.7991742,06, ,G4020,Franklin,Franklin County,12,New,Apalachicola,365214782.102,117962.621363
1411918810.0,1275526881.0,Apalachicola, ,H1,037,00306911, ,39,999,A,12037,031300130304,Cat Creek,+29.8101756,-084.7991742,06, ,G4020,Franklin,Franklin County,12,New,Apalachicola,107390706.395,56386.636181
1826212267.0,410631158.0,Aucilla-Waccasassa, ,H1,029,00295725, ,40,1277,A,12029,031101020605,Lower Eightmile Creek-Steinhatchee River,+29.5808994,-083.1956656,06, ,G4020,Dixie,Dixie County,12,Econfina-Steinhatchee,Suwannee,77766095.8723,49208.8670347
1407427927.0,11646352.0,Aucilla-Waccasassa, ,H1,067,00295732, ,40,1844,A,12067,031101020605,Lower Eightmile Creek-Steinhatchee River,+29.9900661,-083.1785097,06, ,G4020,Lafayette,Lafayette County,12,Econfina-Steinhatchee,Suwannee,13200262.7303,26719.7457698
2702176496.0,489262125.0,Aucilla-Waccasassa, ,H1,123,00295728, ,40,2336,A,12123,031101020605,Lower Eightmile Creek-Steinhatchee River,+30.0099084,-083.6094825,06, ,G4020,Taylor,Taylor County,12,Econfina-Steinhatchee,Suwannee,25791641.4048,30617.4104785
1411918810.0,1275526881.0,Apalachicola, ,H1,037,00306911, ,41,999,A,12037,031300110803,Brothers River,+29.8101756,-084.7991742,06, ,G4020,Franklin,Franklin County,12,Apalachicola,Apalachicola,72270899.4508,61964.9165727
2164095689.0,19582444.0,Apalachicola, ,H1,077,00308549, ,41,2777,A,12077,031300110803,Brothers River,+30.2598494,-084.8685805,06, ,G4020,Liberty,Liberty County,12,Apalachicola,Apalachicola,16515693.5174,24249.397776
1433780459.0,494266823.0,Apalachicola,37460,H1,045,00306917, ,41,3099,A,12045,031300110803,Brothers River,+29.9072571,-085.2565366,06, ,G4020,Gulf,Gulf County,12,Apalachicola,Apalachicola,95570196.0072,59833.2227703
1826212267.0,410631158.0,Suwannee, ,H1,029,00295725, ,42,1277,A,12029,031102050602,Tenmile Prairie,+29.5808994,-083.1956656,06, ,G4020,Dixie,Dixie County,12,Lower Suwannee,Suwannee,78606442.8095,54638.1081098
1407427927.0,11646352.0,Suwannee, ,H1,067,00295732, ,42,1844,A,12067,031102050602,Tenmile Prairie,+29.9900661,-083.1785097,06, ,G4020,Lafayette,Lafayette County,12,Lower Suwannee,Suwannee,40172.2325336,1948.79180986
2702176496.0,489262125.0,Aucilla-Waccasassa, ,H1,123,00295728, ,43,2336,A,12123,031101020505,Fish Creek-Clay Creek Frontal,+30.0099084,-083.6094825,06, ,G4020,Taylor,Taylor County,12,Econfina-Steinhatchee,Suwannee,206869673.855,72973.2708866
1433780459.0,494266823.0,Florida Panhandle Coastal,37460,H1,045,00306917, ,44,3099,A,12045,031401010702,Cerser Swamp,+29.9072571,-085.2565366,06, ,G4020,Gulf,Gulf County,12,St. Andrew-St. Joseph Bays,Choctawhatchee-Escambia,89782198.5254,53429.6777458
1411918810.0,1275526881.0,Ochlockonee, ,H1,037,00306911, ,45,999,A,12037,031200031203,Upper Crooked River,+29.8101756,-084.7991742,06, ,G4020,Franklin,Franklin County,12,Lower Ochlockonee,Ochlockonee,82606991.2188,47443.9349475
1411918810.0,1275526881.0,Apalachicola, ,H1,037,00306911, ,46,999,A,12037,031300130501,North Tates  Hell Swamp,+29.8101756,-084.7991742,06, ,G4020,Franklin,Franklin County,12,New,Apalachicola,52775388.6225,35003.0541128
2164095689.0,19582444.0,Apalachicola, ,H1,077,00308549, ,46,2777,A,12077,031300130501,North Tates  Hell Swamp,+30.2598494,-084.8685805,06, ,G4020,Liberty,Liberty County,12,New,Apalachicola,14924528.7798,25955.6601708
1411918810.0,1275526881.0,Apalachicola, ,H1,037,00306911, ,47,999,A,12037,031300130401,Thousand Yard Bay,+29.8101756,-084.7991742,06, ,G4020,Franklin,Franklin County,12,New,Apalachicola,72453886.4644,44632.3028635
2164095689.0,19582444.0,Apalachicola, ,H1,077,00308549, ,47,2777,A,12077,031300130401,Thousand Yard Bay,+30.2598494,-084.8685805,06, ,G4020,Liberty,Liberty County,12,New,Apalachicola,5402103.56996,14838.9997685
1411918810.0,1275526881.0,Apalachicola, ,H1,037,00306911, ,48,999,A,12037,031300110802,Juniper Cove Swamp,+29.8101756,-084.7991742,06, ,G4020,Franklin,Franklin County,12,Apalachicola,Apalachicola,82639023.0186,59659.2344948
2164095689.0,19582444.0,Apalachicola, ,H1,077,00308549, ,48,2777,A,12077,031300110802,Juniper Cove Swamp,+30.2598494,-084.8685805,06, ,G4020,Liberty,Liberty County,12,Apalachicola,Apalachicola,16999320.6632,20937.227559
1570621273.0,334901394.0,Ochlockonee,45220,H1,129,00306912,533,49,72,A,12129,031200031204,Ochlockonee Bay,+30.1403575,-084.3751122,06, ,G4020,Wakulla,Wakulla County,12,Lower Ochlockonee,Ochlockonee,43386392.7841,68315.7757254
1411918810.0,1275526881.0,Ochlockonee, ,H1,037,00306911, ,49,999,A,12037,031200031204,Ochlockonee Bay,+29.8101756,-084.7991742,06, ,G4020,Franklin,Franklin County,12,Lower Ochlockonee,Ochlockonee,91067892.4732,87530.9317919
2702176496.0,489262125.0,Aucilla-Waccasassa, ,H1,123,00295728, ,50,2336,A,12123,031101020503,Yates Creek-Clearwater Creek Frontal,+30.0099084,-083.6094825,06, ,G4020,Taylor,Taylor County,12,Econfina-Steinhatchee,Suwannee,155076252.391,58429.4472583
905705522.0,14362154.0,Suwannee,23540,H1,041,00303633,264,51,366,A,12041,031102060701,Cow Creek Slough,+29.7234556,-082.7958011,06, ,G4020,Gilchrist,Gilchrist County,12,Santa Fe,Suwannee,73264880.8828,76956.7830935
1411918810.0,1275526881.0,Apalachicola, ,H1,037,00306911, ,52,999,A,12037,031300130303,Gator Creek-New River,+29.8101756,-084.7991742,06, ,G4020,Franklin,Franklin County,12,New,Apalachicola,51804121.5663,36096.9066701
2164095689.0,19582444.0,Apalachicola, ,H1,077,00308549, ,52,2777,A,12077,031300130303,Gator Creek-New River,+30.2598494,-084.8685805,06, ,G4020,Liberty,Liberty County,12,New,Apalachicola,32253286.9732,49420.6605693
905705522.0,14362154.0,Suwannee,23540,H1,041,00303633,264,53,366,A,12041,031102050601,Lower Mallory Swamp,+29.7234556,-082.7958011,06, ,G4020,Gilchrist,Gilchrist County,12,Lower Suwannee,Suwannee,41995102.8704,45042.0204584
1826212267.0,410631158.0,Suwannee, ,H1,029,00295725, ,53,1277,A,12029,031102050601,Lower Mallory Swamp,+29.5808994,-083.1956656,06, ,G4020,Dixie,Dixie County,12,Lower Suwannee,Suwannee,67076533.1703,53332.7350846
1407427927.0,11646352.0,Suwannee, ,H1,067,00295732, ,53,1844,A,12067,031102050601,Lower Mallory Swamp,+29.9900661,-083.1785097,06, ,G4020,Lafayette,Lafayette County,12,Lower Suwannee,Suwannee,32761670.7866,27946.6727768
2164095689.0,19582444.0,Apalachicola, ,H1,077,00308549, ,54,2777,A,12077,031300130302,Lower Juniper Creek-New River,+30.2598494,-084.8685805,06, ,G4020,Liberty,Liberty County,12,New,Apalachicola,52210864.6289,34620.8008394
1964402061.0,711451659.0,Florida Panhandle Coastal,37460,H1,005,00295738, ,55,1703,A,12005,031401010703,Eagle Nest Bayou-Wetappo Creek Frontal,+30.2381172,-085.6314303,06, ,G4020,Bay,Bay County,12,St. Andrew-St. Joseph Bays,Choctawhatchee-Escambia,16861691.514,21416.3281461
1433780459.0,494266823.0,Florida Panhandle Coastal,37460,H1,045,00306917, ,55,3099,A,12045,031401010703,Eagle Nest Bayou-Wetappo Creek Frontal,+29.9072571,-085.2565366,06, ,G4020,Gulf,Gulf County,12,St. Andrew-St. Joseph Bays,Choctawhatchee-Escambia,166111844.224,71690.8795494
905705522.0,14362154.0,Suwannee,23540,H1,041,00303633,264,56,366,A,12041,031102060703,Cow Creek-Sante Fe River,+29.7234556,-082.7958011,06, ,G4020,Gilchrist,Gilchrist County,12,Santa Fe,Suwannee,45728387.6914,45328.1297347
2164095689.0,19582444.0,Apalachicola, ,H1,077,00308549, ,57,2777,A,12077,031300130203,Mud Swamp-New River,+30.2598494,-084.8685805,06, ,G4020,Liberty,Liberty County,12,New,Apalachicola,71373857.2656,49739.2009405
1433780459.0,494266823.0,Apalachicola,37460,H1,045,00306917, ,58,3099,A,12045,031300120606,Douglas Slough,+29.9072571,-085.2565366,06, ,G4020,Gulf,Gulf County,12,Chipola,Apalachicola,109944311.832,67548.3771835
2266378728.0,242823265.0,St. Johns,23540,H1,001,00308548,264,59,2636,A,12001,030801021101,Saluda Swamp,+29.6757403,-082.3572210,06, ,G4020,Alachua,Alachua County,12,Oklawaha,St. Johns,66232466.8555,46131.0500597
1570621273.0,334901394.0,Ochlockonee,45220,H1,129,00306912,533,60,72,A,12129,031200031202,Womack Creek Swamp,+30.1403575,-084.3751122,06, ,G4020,Wakulla,Wakulla County,12,Lower Ochlockonee,Ochlockonee,35463263.0001,63334.3156996
1411918810.0,1275526881.0,Ochlockonee, ,H1,037,00306911, ,60,999,A,12037,031200031202,Womack Creek Swamp,+29.8101756,-084.7991742,06, ,G4020,Franklin,Franklin County,12,Lower Ochlockonee,Ochlockonee,15311694.8519,23410.2834504
2164095689.0,19582444.0,Ochlockonee, ,H1,077,00308549, ,60,2777,A,12077,031200031202,Womack Creek Swamp,+30.2598494,-084.8685805,06, ,G4020,Liberty,Liberty County,12,Lower Ochlockonee,Ochlockonee,60611080.0182,50062.5085709
905705522.0,14362154.0,Suwannee,23540,H1,041,00303633,264,61,366,A,12041,031102050504,Rock Bluff Spring,+29.7234556,-082.7958011,06, ,G4020,Gilchrist,Gilchrist County,12,Lower Suwannee,Suwannee,101046382.478,57591.6776257
1826212267.0,410631158.0,Suwannee, ,H1,029,00295725, ,61,1277,A,12029,031102050504,Rock Bluff Spring,+29.5808994,-083.1956656,06, ,G4020,Dixie,Dixie County,12,Lower Suwannee,Suwannee,14422028.2955,25135.14802
1407427927.0,11646352.0,Suwannee, ,H1,067,00295732, ,61,1844,A,12067,031102050504,Rock Bluff Spring,+29.9900661,-083.1785097,06, ,G4020,Lafayette,Lafayette County,12,Lower Suwannee,Suwannee,33210654.6468,30029.7587561
905705522.0,14362154.0,Suwannee,23540,H1,041,00303633,264,62,366,A,12041,031102050503,Upper Mallory Swamp,+29.7234556,-082.7958011,06, ,G4020,Gilchrist,Gilchrist County,12,Lower Suwannee,Suwannee,97.4082638361,45.9548054763
1826212267.0,410631158.0,Suwannee, ,H1,029,00295725, ,62,1277,A,12029,031102050503,Upper Mallory Swamp,+29.5808994,-083.1956656,06, ,G4020,Dixie,Dixie County,12,Lower Suwannee,Suwannee,2642917.1499,16112.0541036
1407427927.0,11646352.0,Suwannee, ,H1,067,00295732, ,62,1844,A,12067,031102050503,Upper Mallory Swamp,+29.9900661,-083.1785097,06, ,G4020,Lafayette,Lafayette County,12,Lower Suwannee,Suwannee,56429966.3677,48695.2486986
2702176496.0,489262125.0,Aucilla-Waccasassa, ,H1,123,00295728, ,63,2336,A,12123,031101020703,Boggy Creek-Steinhatchee River,+30.0099084,-083.6094825,06, ,G4020,Taylor,Taylor County,12,Econfina-Steinhatchee,Suwannee,91799973.9023,89474.8619906
2702176496.0,489262125.0,Aucilla-Waccasassa, ,H1,123,00295728, ,64,2336,A,12123,031101020504,Blue Creek-Salt Creek,+30.0099084,-083.6094825,06, ,G4020,Taylor,Taylor County,12,Econfina-Steinhatchee,Suwannee,115053295.148,89833.8880541
2164095689.0,19582444.0,Apalachicola, ,H1,077,00308549, ,65,2777,A,12077,031300110605,River Styx-Apalachicola River,+30.2598494,-084.8685805,06, ,G4020,Liberty,Liberty County,12,Apalachicola,Apalachicola,63558011.0261,73409.2104912
1433780459.0,494266823.0,Apalachicola,37460,H1,045,00306917, ,65,3099,A,12045,031300110605,River Styx-Apalachicola River,+29.9072571,-085.2565366,06, ,G4020,Gulf,Gulf County,12,Apalachicola,Apalachicola,12007415.2931,54833.7544721
1826212267.0,410631158.0,Aucilla-Waccasassa, ,H1,029,00295725, ,66,1277,A,12029,031101020801,Upper Eightmile Creek-Steinhatchee River,+29.5808994,-083.1956656,06, ,G4020,Dixie,Dixie County,12,Econfina-Steinhatchee,Suwannee,48809622.8187,39373.2911966
1407427927.0,11646352.0,Aucilla-Waccasassa, ,H1,067,00295732, ,66,1844,A,12067,031101020801,Upper Eightmile Creek-Steinhatchee River,+29.9900661,-083.1785097,06, ,G4020,Lafayette,Lafayette County,12,Econfina-Steinhatchee,Suwannee,116713355.485,57671.6394538
1407427927.0,11646352.0,Suwannee, ,H1,067,00295732, ,67,1844,A,12067,031102050501,Wampee Ponds,+29.9900661,-083.1785097,06, ,G4020,Lafayette,Lafayette County,12,Lower Suwannee,Suwannee,71067922.3086,56410.2851534
2266378728.0,242823265.0,Suwannee,23540,H1,001,00308548,264,68,2636,A,12001,031102060302,Rocky Creek-Sante Fe River,+29.6757403,-082.3572210,06, ,G4020,Alachua,Alachua County,12,Santa Fe,Suwannee,107327534.652,69222.6954897
1411918810.0,1275526881.0,Apalachicola, ,H1,037,00306911, ,69,999,A,12037,031300110801,Little Owl Creek,+29.8101756,-084.7991742,06, ,G4020,Franklin,Franklin County,12,Apalachicola,Apalachicola,5133691.34905,12150.9193813
