LandWaterProtect,LandWaterManage,Livelihood,SpeciesManage,EducateAware,LawPolicy,WorkshopName,Justification,PARCA,TNC,EPA,ACJV,NBCI,Alabama,Florida,NorthCarolina,Virginia,Georgia,HUC12,HU_12_NAME,SUBREGION,BASIN,SUBBASIN,Shape_Length,Shape_Area
Yes,Yes,Yes, , ,Yes,Apalachicola Bay,"Part of the Okefenokee/Osceola/Eglin AFB Complex and Big Bend coastline. This is a large landscape containing longleaf pine, large swamps, and rivers (Suwanee and St. Marys).  Also this area ties the Gulf and Atlantic coasts together. There is a group of stakeholders that have done conservation planning in the Okefenokee/Osceola area and they should be consulted regarding management actions. Important area for coastal to inland migration of communities and species. A key area for management and protection in response to sea level rise and an important area for economy for inshore/near-shore harvest (clams, scallops, oysters). A rich estuarine habitat with a dependency on freshwater flows and inputs. There is connectivity from coastal waters to inland freshwater and many threatened/endangered species. Concentration of working forests and fisheries.", ,Priority, ,Priority, , ,Priority, , , ,031101020905,Sink Creek-Whackup Creek Frontal,Suwannee,Aucilla-Waccasassa,Econfina-Steinhatchee,98279.98304708095,373880498.59765625
 , ,Yes, , , ,Okefenokee/Osceola/Eglin AFB Complex,"This is a large landscape containing longleaf pine, large swamps, and rivers (Suwanee and St. Marys).  Also this area ties the Gulf and Atlantic coasts together. There is a group of stakeholders that have done conservation planning in the Okefenokee/Osceola area and they should be consulted regarding management actions.",Priority,Priority, ,Priority,Priority, ,Priority, , , ,031102050703,Wacasassa Slough,Suwannee,Suwannee,Lower Suwannee,62983.46167313506,64982745.05859375
Yes,Yes,Yes,Yes,Yes,Yes,Big Bend Area and ACF Corridor,"Important coastal habitat. Opportunity for coastal to inland connectivity to allow for inland migration due to sea level rise.  With land protection, this area can provide a secure corridor between St. Marks National Wildlife Refuge and Apalachicola National Forest, especially as sea level rise may inundate large portions of St. Marks NWR.  Includes Apalachicola/Apalachee Bay area and river system.  Area of economic concern in the inshore/near-shore area in relation to freshwater flow and inputs in to the Bay.  Management and policy issues are critical in this area and adjoining areas to the north, particularly in hydrology management.  River system provides coastal to inland connectivity.  Apalachicola National Forest selected to continue appropriate land/species mgmt - pinelands with Red Cockaded Woodpeckers and associated suite of birds, areas of pitcher plant bogs. Lower Flint, Spring Creek & Suwanee corridors",Priority,Priority, ,Priority, , ,Priority, , , ,031300110706,Saul Creek,Apalachicola,Apalachicola,Apalachicola,89271.0556368967,257200871.74414062
Yes,Yes,Yes,Yes,Yes,Yes,Apalachicola Bay,"Part of the Okefenokee/Osceola/Eglin AFB Complex and Big Bend coastline. This is a large landscape containing longleaf pine, large swamps, and rivers (Suwanee and St. Marys).  Also this area ties the Gulf and Atlantic coasts together. There is a group of stakeholders that have done conservation planning in the Okefenokee/Osceola area and they should be consulted regarding management actions. Important area for coastal to inland migration of communities and species. A key area for management and protection in response to sea level rise and an important area for economy for inshore/near-shore harvest (clams, scallops, oysters). A rich estuarine habitat with a dependency on freshwater flows and inputs. There is connectivity from coastal waters to inland freshwater and many threatened/endangered species. Concentration of working forests and fisheries.", ,Priority, ,Priority, , ,Priority, , , ,031101020904,Howard Creek-Rocky Creek Frontal,Suwannee,Aucilla-Waccasassa,Econfina-Steinhatchee,76779.0164119928,109449365.05078125
 , ,Yes, , , ,Okefenokee/Osceola/Eglin AFB Complex,"This is a large landscape containing longleaf pine, large swamps, and rivers (Suwanee and St. Marys).  Also this area ties the Gulf and Atlantic coasts together. There is a group of stakeholders that have done conservation planning in the Okefenokee/Osceola area and they should be consulted regarding management actions.", , , ,Priority,Priority, , , , , ,031102050702,Fanning Springs Slough,Suwannee,Suwannee,Lower Suwannee,48895.784591730146,78351642.94140625
 , , , , , ,,, ,Priority, ,Priority, , ,Priority, , , ,031101020804,Sand Hill Creek,Suwannee,Aucilla-Waccasassa,Econfina-Steinhatchee,40345.269965886866,49624822.015625
 , , , , , ,,, ,Priority, ,Priority,Priority, ,Priority, , , ,031101010201,Sawgrass Springs,Suwannee,Aucilla-Waccasassa,Waccasassa,81125.44073337468,154569742.9765625
Yes,Yes,Yes,Yes,Yes,Yes,ACF Basin South West Extension,"This area extends from the ACF main stem into some of the tributary areas. Strong protection in FL, although this water body has big water issues. Area south of Ft. Benning Flint/Chattahoochee hydrology flow protection ravines and bluff forests.", ,Priority, , , , ,Priority, , , ,031300110703,Searcy Creek,Apalachicola,Apalachicola,Apalachicola,69380.13650926176,85066765.0703125
Yes,Yes,Yes,Yes,Yes,Yes,ACF Basin South West Extension,"This area extends from the ACF main stem into some of the tributary areas. Strong protection in FL, although this water body has big water issues. Area south of Ft. Benning Flint/Chattahoochee hydrology flow protection ravines and bluff forests.",Priority,Priority, ,Priority, , ,Priority, , , ,031300110705,Lake Wimico,Apalachicola,Apalachicola,Apalachicola,88118.81326780865,115816544.375
Yes,Yes,Yes,Yes,Yes,Yes,Apalachicola Region,"Part of the ACF basin main stem, Apalachicola, Chattahoochee, and Flint River. The policies and approach to water within this area may set precedence for other areas with similar issues across the Southeast.Concentration of private and working lands including Tall Timbers Land Conservancy, which has protected many easements within this area.Opportunity for coastal to inland connectivity to allow for inland migration due to sea level rise.  With land protection, this area can provide a secure corridor between St. Marks National Wildlife Refuge and Apalachicola National Forest, especially as sea level rise may inundate large portions of St. Marks NWR.  Includes Apalachicola/Apalachee Bay area and river system.  Area of economic concern in the inshore/near-shore area in relation to freshwater flow and inputs in to the Bay.  Management and policy issues are critical in this area and adjoining areas to the north, particularly in hydrology management.  River system provides coastal to inland connectivity.  Apalachicola National Forest selected to continue appropriate land/species mgmt - pinelands with Red Cockaded Woodpeckers and associated suite of birds, areas of pitcher plant bogs.",Priority,Priority, ,Priority, , ,Priority, , , ,031300110804,East River-Apalachicola River Frontal,Apalachicola,Apalachicola,Apalachicola,123293.49412679668,485263733.765625
Yes,Yes,Yes,Yes,Yes,Yes,Big Bend Area and Apalachicola Region,"Important coastal habitat. Opportunity for coastal to inland connectivity to allow for inland migration due to sea level rise.  With land protection, this area can provide a secure corridor between St. Marks National Wildlife Refuge and Apalachicola National Forest, especially as sea level rise may inundate large portions of St. Marks NWR.  Includes Apalachicola/Apalachee Bay area and river system.  Area of economic concern in the inshore/near-shore area in relation to freshwater flow and inputs in to the Bay.  Management and policy issues are critical in this area and adjoining areas to the north, particularly in hydrology management.  River system provides coastal to inland connectivity.  Apalachicola National Forest selected to continue appropriate land/species mgmt - pinelands with Red Cockaded Woodpeckers and associated suite of birds, areas of pitcher plant bogs. A rich estuarine habitat with a dependency on freshwater flows and inputs. There is connectivity from coastal waters to inland freshwater and many threatened/endangered species. Concentration of working forests and fisheries.",Priority,Priority, ,Priority, , ,Priority, , , ,031300130504,Blounts Bay Frontal,Apalachicola,Apalachicola,New,84513.37107057878,160832069.65625
 , ,Yes, , , ,Okefenokee/Osceola/Eglin AFB Complex,"This is a large landscape containing longleaf pine, large swamps, and rivers (Suwanee and St. Marys).  Also this area ties the Gulf and Atlantic coasts together. There is a group of stakeholders that have done conservation planning in the Okefenokee/Osceola area and they should be consulted regarding management actions.", ,Priority, ,Priority, , ,Priority, , , ,031101020902,California Creek,Suwannee,Aucilla-Waccasassa,Econfina-Steinhatchee,78782.57719120692,163060187.91015625
Yes,Yes,Yes,Yes, , ,Suwannee River Corridor,"This is a large landscape containing longleaf pine, large swamps, and rivers (Suwanee and St. Marys).  Also this area ties the Gulf and Atlantic coasts together. There is a group of stakeholders that have done conservation planning in the Okefenokee/Osceola area and they should be consulted regarding management actions.",Priority,Priority, ,Priority,Priority, ,Priority, , , ,031102050701,Bell Springs,Suwannee,Suwannee,Lower Suwannee,82572.32315644993,173283511.79296875
Yes,Yes,Yes,Yes,Yes,Yes,Big Bend Coastline and Apalachicola Bay,"Important coastal habitat. Important area for coastal to inland migration of communities and species. A key area for management and protection in response to sea level rise and an important area for economy for inshore/near-shore harvest (clams, scallops, oysters). A rich estuarine habitat with a dependency on freshwater flows and inputs. There is connectivity from coastal waters to inland freshwater and many threatened/endangered species. Concentration of working forests and fisheries.", ,Priority, ,Priority, , ,Priority, , , ,031101020805,Steinhatchee River-Pine Log Creek Frontal,Suwannee,Aucilla-Waccasassa,Econfina-Steinhatchee,66103.08057986446,88027825.2421875
Yes,Yes,Yes,Yes,Yes,Yes,ACF Basin South West Extension,"This area extends from the ACF main stem into some of the tributary areas. Strong protection in FL, although this water body has big water issues. Area south of Ft. Benning Flint/Chattahoochee hydrology flow protection ravines and bluff forests.",Priority,Priority, , , , ,Priority, , , ,031300110702,Indian Bayou,Apalachicola,Apalachicola,Apalachicola,36041.01421830289,63121204.876953125
 , ,Yes, , , ,Okefenokee/Osceola/Eglin AFB Complex,"This is a large landscape containing longleaf pine, large swamps, and rivers (Suwanee and St. Marys).  Also this area ties the Gulf and Atlantic coasts together. There is a group of stakeholders that have done conservation planning in the Okefenokee/Osceola area and they should be consulted regarding management actions.", ,Priority, ,Priority, , ,Priority, , , ,031101020901,Fishbone Creek-California Creek,Suwannee,Aucilla-Waccasassa,Econfina-Steinhatchee,78738.45752694277,134121991.796875
Yes,Yes,Yes,Yes,Yes,Yes,Apalachicola Bay,"Part of the Big Bend Area. Important coastal habitat. Important area for coastal to inland migration of communities and species. A key area for management and protection in response to sea level rise and an important area for economy for inshore/near-shore harvest (clams, scallops, oysters). A rich estuarine habitat with a dependency on freshwater flows and inputs. There is connectivity from coastal waters to inland freshwater and many threatened/endangered species. Concentration of working forests and fisheries.", ,Priority, ,Priority, , ,Priority, , , ,031101020506,Dallus Creek-Bivens Creek Frontal,Suwannee,Aucilla-Waccasassa,Econfina-Steinhatchee,54400.31369592484,132262939.79296875
Yes,Yes,Yes,Yes,Yes,Yes,Big Bend Area and Apalachicola Region,"Important coastal habitat. Opportunity for coastal to inland connectivity to allow for inland migration due to sea level rise.  With land protection, this area can provide a secure corridor between St. Marks National Wildlife Refuge and Apalachicola National Forest, especially as sea level rise may inundate large portions of St. Marks NWR.  Includes Apalachicola/Apalachee Bay area and river system.  Area of economic concern in the inshore/near-shore area in relation to freshwater flow and inputs in to the Bay.  Management and policy issues are critical in this area and adjoining areas to the north, particularly in hydrology management.  River system provides coastal to inland connectivity.  Apalachicola National Forest selected to continue appropriate land/species mgmt - pinelands with Red Cockaded Woodpeckers and associated suite of birds, areas of pitcher plant bogs. A rich estuarine habitat with a dependency on freshwater flows and inputs. There is connectivity from coastal waters to inland freshwater and many threatened/endangered species. Concentration of working forests and fisheries.",Priority,Priority, ,Priority, , ,Priority, , , ,031300130305,Carabelle River,Apalachicola,Apalachicola,New,75453.10424976845,227234189.10546875
 , ,Yes, , , ,Okefenokee/Osceola/Eglin AFB Complex,"This is a large landscape containing longleaf pine, large swamps, and rivers (Suwanee and St. Marys).  Also this area ties the Gulf and Atlantic coasts together. There is a group of stakeholders that have done conservation planning in the Okefenokee/Osceola area and they should be consulted regarding management actions.",Priority,Priority, ,Priority, , ,Priority, , , ,031102050604,North Old Town Hammock,Suwannee,Suwannee,Lower Suwannee,122670.1458115261,148936719.44921875
 , , , , , ,,, ,Priority, , , , ,Priority, , , ,031401010704,Harrison Swamp-Intercoastal Waterway Frontal,Choctawhatchee-Escambia,Florida Panhandle Coastal,St. Andrew-St. Joseph Bays,102491.20782036937,377680033.2480469
Yes,Yes,Yes,Yes,Yes,Yes,Apalachicola Region,"Part of the Big Bend area, this is an important coastal habitat. Opportunity for coastal to inland connectivity to allow for inland migration due to sea level rise.  With land protection, this area can provide a secure corridor between St. Marks National Wildlife Refuge and Apalachicola National Forest, especially as sea level rise may inundate large portions of St. Marks NWR.  Includes Apalachicola/Apalachee Bay area and river system.  Area of economic concern in the inshore/near-shore area in relation to freshwater flow and inputs in to the Bay.  Management and policy issues are critical in this area and adjoining areas to the north, particularly in hydrology management.  River system provides coastal to inland connectivity.  Apalachicola National Forest selected to continue appropriate land/species mgmt - pinelands with Red Cockaded Woodpeckers and associated suite of birds, areas of pitcher plant bogs.",Priority,Priority, ,Priority, , ,Priority, , , ,031300130402,Lower Crooked River,Apalachicola,Apalachicola,New,42850.188301965594,52657031.81640625
Yes,Yes,Yes,Yes,Yes,Yes,Big Bend Area and Apalachicola Region,"Important coastal habitat. Opportunity for coastal to inland connectivity to allow for inland migration due to sea level rise.  With land protection, this area can provide a secure corridor between St. Marks National Wildlife Refuge and Apalachicola National Forest, especially as sea level rise may inundate large portions of St. Marks NWR.  Includes Apalachicola/Apalachee Bay area and river system.  Area of economic concern in the inshore/near-shore area in relation to freshwater flow and inputs in to the Bay.  Management and policy issues are critical in this area and adjoining areas to the north, particularly in hydrology management.  River system provides coastal to inland connectivity.  Apalachicola National Forest selected to continue appropriate land/species mgmt - pinelands with Red Cockaded Woodpeckers and associated suite of birds, areas of pitcher plant bogs. A rich estuarine habitat with a dependency on freshwater flows and inputs. There is connectivity from coastal waters to inland freshwater and many threatened/endangered species. Concentration of working forests and fisheries.",Priority,Priority, ,Priority, , ,Priority, , , ,031300130503,Tates Hell Swamp-Cash Creek,Apalachicola,Apalachicola,New,104482.84814561626,296216354.984375
Yes,Yes,Yes,Yes,Yes,Yes,Apalachicola National Forest,"Important coastal habitat. Opportunity for coastal to inland connectivity to allow for inland migration due to sea level rise.  With land protection, this area can provide a secure corridor between St. Marks National Wildlife Refuge and Apalachicola National Forest, especially as sea level rise may inundate large portions of St. Marks NWR.  Includes Apalachicola/Apalachee Bay area and river system.  Area of economic concern in the inshore/near-shore area in relation to freshwater flow and inputs in to the Bay.  Management and policy issues are critical in this area and adjoining areas to the north, particularly in hydrology management.  River system provides coastal to inland connectivity.  Apalachicola National Forest selected to continue appropriate land/species mgmt - pinelands with Red Cockaded Woodpeckers and associated suite of birds, areas of pitcher plant bogs. Important for connecting existing conservation lands to increase habitat resiliency by linking coastal to inland migration routes for improved species management. Vital to proactively address sea level rise.",Priority,Priority, ,Priority, , ,Priority, , , ,031300130502,Whiskey George Creek,Apalachicola,Apalachicola,New,41157.94603985766,74208402.76171875
Yes,Yes,Yes,Yes,Yes,Yes,Big Bend Area,Important coastal habitat., ,Priority, ,Priority, , ,Priority, , , ,031101020802,Hines Slough,Suwannee,Aucilla-Waccasassa,Econfina-Steinhatchee,67438.002594999,79734807.4609375
Yes,Yes,Yes,Yes,Yes,Yes,Big Bend Area,Important coastal habitat., , , ,Priority, , ,Priority, , , ,031101020803,Pumpkin Swamp,Suwannee,Aucilla-Waccasassa,Econfina-Steinhatchee,62577.98319603631,120853415.95703125
Yes,Yes,Yes,Yes, , ,Suwannee River Corridor,"This is a large landscape containing longleaf pine, large swamps, and rivers (Suwanee and St. Marys).  Also this area ties the Gulf and Atlantic coasts together. There is a group of stakeholders that have done conservation planning in the Okefenokee/Osceola area and they should be consulted regarding management actions.",Priority,Priority, ,Priority, , ,Priority, , , ,031102050603,Sun Springs,Suwannee,Suwannee,Lower Suwannee,79429.13998333442,173362074.91796875
Yes,Yes,Yes,Yes,Yes,Yes,ACF Basin South West Extension,"This area extends from the ACF main stem into some of the tributary areas. Strong protection in FL, although this water body has big water issues. Area south of Ft. Benning Flint/Chattahoochee hydrology flow protection ravines and bluff forests.",Priority,Priority, , , , ,Priority, , , ,031300110701,Cypress Creek-Indian Bayou,Apalachicola,Apalachicola,Apalachicola,58454.92165632093,110444256.59765625
Yes,Yes,Yes,Yes,Yes,Yes,Big Bend Area and Apalachicola Region,"Important coastal habitat. Opportunity for coastal to inland connectivity to allow for inland migration due to sea level rise.  With land protection, this area can provide a secure corridor between St. Marks National Wildlife Refuge and Apalachicola National Forest, especially as sea level rise may inundate large portions of St. Marks NWR.  Includes Apalachicola/Apalachee Bay area and river system.  Area of economic concern in the inshore/near-shore area in relation to freshwater flow and inputs in to the Bay.  Management and policy issues are critical in this area and adjoining areas to the north, particularly in hydrology management.  River system provides coastal to inland connectivity.  Apalachicola National Forest selected to continue appropriate land/species mgmt - pinelands with Red Cockaded Woodpeckers and associated suite of birds, areas of pitcher plant bogs. A rich estuarine habitat with a dependency on freshwater flows and inputs. There is connectivity from coastal waters to inland freshwater and many threatened/endangered species. Concentration of working forests and fisheries.", ,Priority, ,Priority, , ,Priority, , , ,031300130403,Alligator Harbor,Apalachicola,Apalachicola,New,117930.71675539891,365222001.08203125
Yes,Yes,Yes,Yes,Yes,Yes,Apalachicola Region,"Part of the Big Bend area, this is an important coastal habitat. Opportunity for coastal to inland connectivity to allow for inland migration due to sea level rise.  With land protection, this area can provide a secure corridor between St. Marks National Wildlife Refuge and Apalachicola National Forest, especially as sea level rise may inundate large portions of St. Marks NWR.  Includes Apalachicola/Apalachee Bay area and river system.  Area of economic concern in the inshore/near-shore area in relation to freshwater flow and inputs in to the Bay.  Management and policy issues are critical in this area and adjoining areas to the north, particularly in hydrology management.  River system provides coastal to inland connectivity.  Apalachicola National Forest selected to continue appropriate land/species mgmt - pinelands with Red Cockaded Woodpeckers and associated suite of birds, areas of pitcher plant bogs.",Priority,Priority, ,Priority, , ,Priority, , , ,031300130304,Cat Creek,Apalachicola,Apalachicola,New,56386.63618095597,107390706.39453125
Yes,Yes,Yes,Yes,Yes,Yes,Big Bend Area,Important coastal habitat., ,Priority, ,Priority, , ,Priority, , , ,031101020605,Lower Eightmile Creek-Steinhatchee River,Suwannee,Aucilla-Waccasassa,Econfina-Steinhatchee,59030.28164904969,116758000.01171875
Yes,Yes,Yes,Yes,Yes,Yes,Apalachicola Region,"Part of the ACF basin main stem, Apalachicola, Chattahoochee, and Flint River. The policies and approach to water within this area may set precedence for other areas with similar issues across the Southeast.Concentration of private and working lands including Tall Timbers Land Conservancy, which has protected many easements within this area.Opportunity for coastal to inland connectivity to allow for inland migration due to sea level rise.  With land protection, this area can provide a secure corridor between St. Marks National Wildlife Refuge and Apalachicola National Forest, especially as sea level rise may inundate large portions of St. Marks NWR.  Includes Apalachicola/Apalachee Bay area and river system.  Area of economic concern in the inshore/near-shore area in relation to freshwater flow and inputs in to the Bay.  Management and policy issues are critical in this area and adjoining areas to the north, particularly in hydrology management.  River system provides coastal to inland connectivity.  Apalachicola National Forest selected to continue appropriate land/species mgmt - pinelands with Red Cockaded Woodpeckers and associated suite of birds, areas of pitcher plant bogs.",Priority,Priority, ,Priority, , ,Priority, , , ,031300110803,Brothers River,Apalachicola,Apalachicola,Apalachicola,81035.26655758067,184356788.97460938
 , ,Yes, , , ,Okefenokee/Osceola/Eglin AFB Complex,"This is a large landscape containing longleaf pine, large swamps, and rivers (Suwanee and St. Marys).  Also this area ties the Gulf and Atlantic coasts together. There is a group of stakeholders that have done conservation planning in the Okefenokee/Osceola area and they should be consulted regarding management actions.",Priority,Priority, ,Priority, , ,Priority, , , ,031102050602,Tenmile Prairie,Suwannee,Suwannee,Lower Suwannee,54652.67611821089,78646615.0390625
Yes,Yes,Yes,Yes,Yes,Yes,Apalachicola Bay,"Part of the Big Bend Area. Important coastal habitat. Important area for coastal to inland migration of communities and species. A key area for management and protection in response to sea level rise and an important area for economy for inshore/near-shore harvest (clams, scallops, oysters). A rich estuarine habitat with a dependency on freshwater flows and inputs. There is connectivity from coastal waters to inland freshwater and many threatened/endangered species. Concentration of working forests and fisheries.", ,Priority, ,Priority, , ,Priority, , , ,031101020505,Fish Creek-Clay Creek Frontal,Suwannee,Aucilla-Waccasassa,Econfina-Steinhatchee,72973.27088664274,206869673.85546875
 , , , , , ,,, ,Priority, , , , ,Priority, , , ,031401010702,Cerser Swamp,Choctawhatchee-Escambia,Florida Panhandle Coastal,St. Andrew-St. Joseph Bays,53429.67774580631,89782198.52539062
Yes,Yes,Yes,Yes,Yes,Yes,Apalachicola Region,"Part of the Big Bend area, this is an important coastal habitat. Opportunity for coastal to inland connectivity to allow for inland migration due to sea level rise.  With land protection, this area can provide a secure corridor between St. Marks National Wildlife Refuge and Apalachicola National Forest, especially as sea level rise may inundate large portions of St. Marks NWR.  Includes Apalachicola/Apalachee Bay area and river system.  Area of economic concern in the inshore/near-shore area in relation to freshwater flow and inputs in to the Bay.  Management and policy issues are critical in this area and adjoining areas to the north, particularly in hydrology management.  River system provides coastal to inland connectivity.  Apalachicola National Forest selected to continue appropriate land/species mgmt - pinelands with Red Cockaded Woodpeckers and associated suite of birds, areas of pitcher plant bogs.",Priority,Priority, ,Priority, , ,Priority, , , ,031200031203,Upper Crooked River,Ochlockonee,Ochlockonee,Lower Ochlockonee,47443.934947496964,82606991.21875
Yes,Yes,Yes,Yes,Yes,Yes,Apalachicola National Forest,"Important coastal habitat. Opportunity for coastal to inland connectivity to allow for inland migration due to sea level rise.  With land protection, this area can provide a secure corridor between St. Marks National Wildlife Refuge and Apalachicola National Forest, especially as sea level rise may inundate large portions of St. Marks NWR.  Includes Apalachicola/Apalachee Bay area and river system.  Area of economic concern in the inshore/near-shore area in relation to freshwater flow and inputs in to the Bay.  Management and policy issues are critical in this area and adjoining areas to the north, particularly in hydrology management.  River system provides coastal to inland connectivity.  Apalachicola National Forest selected to continue appropriate land/species mgmt - pinelands with Red Cockaded Woodpeckers and associated suite of birds, areas of pitcher plant bogs. Important for connecting existing conservation lands to increase habitat resiliency by linking coastal to inland migration routes for improved species management. Vital to proactively address sea level rise.",Priority,Priority, ,Priority, , ,Priority, , , ,031300130501,North Tates  Hell Swamp,Apalachicola,Apalachicola,New,42215.525787433806,67699917.40234375
